potYear;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;yearTotal
fact;78;79;80;80;82;82;81;80;142;89;83;84;84
plan;75;74;75;76;77;78;77;76;79;79;0;78;77
