glassBaltic;jan;feb;map;apr;may;jun;jul;aug;sep;oct;nov;dec;yearTotal
fact;53;66;66;67;67;59;57;60;0;63;64;61;63
plan;54;58;61;60;61;63;56;57;0;62;61;62;60
