potBaltic;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;totalByYear
fact;83;81;78;83;81;78;81;80;0;85;81;85;81
plan;79;77;76;77;75;76;75;74;0;79;74;76;76
