glassYear;jan;feb;map;apr;may;jun;jul;aug;sep;oct;nov;dec;yearTotal
fact;64;65;66;66;69;66;63;63;122;72;69;65;68
plan;59;58;59;58;61;62;59;60;61;65;0;63;61
